hash,fees,size
92826246b6c317ba04f13e6b81720e7209bfef7730a3c0ad75f6a712890dca3c,295000.0,876.0
1c2e6376d31b7038b5a6a7c9172f280245500ac4b3868d86c86cd1b997517e33,335569.0,1264.0
8d090eb428f20c2eac89871f0c2eaff5cde5e117e79bc36f60bbba9abbe03e56,239888.0,642.0
48501c1a6eb050e813fa396eaa45fb833ffe758f7d8e882ff7d7d08d3e52bc8c,239492.0,633.0
1d02653758c036b7041ccbfbbe1dc53637557f54e09c2a6f13320c513622cd6d,169989.0,331.0
db28812bf0e369574879bf449bd41cd2f33c95a108e0dbeac60c2caf2f346449,407009.0,3092.0
f544521e5d14855b1c53b41f490306fd7b4a6ece4c8a9fb30ec85012b2dfdad3,256344.0,966.0
b4169882ee269ff08ebb0024504f2755e4c22754567f088c61a7f1c15a3a2987,853925.0,15871.0
a1d701cecfaef2b0d8aa9883ad9189b780d6c98c3277d83742c0971bbc3ad006,175157.0,363.0
3d75003edae582b1083e959a825f15caf6a81e4cfa0261d747ea84396a6d881e,198293.0,651.0
975a1ffd69bf4619e3f1546ea32e97063edadd365bfbf74817d94e0d9943181f,166953.0,262.0
4a93486f43a545f59164f82559308a202a7544859bdcd7da4ab58fb4bdc0cfea,193925.0,871.0
6f7252514fec05459997fd9675cd29ea0b5dd6398b58df120b7d449fd2f74c15,166953.0,262.0
fd093d9621682ff38d78cc56fe36c9e313b23e0a8e172f76258d3224edd149c9,168053.0,283.0
798231cb3dfa2525dcf5b1d296fd173ad939bb263aef4cb813c748f7c234ed72,444153,6558.0
ef6ff142c2d7c27734479eeb3b706be11c075e41482ca7b43b444b84b3e89409,173289,402.0
af193fd5039dfbbb521fc66bb79776596444f0339d6d73b038ecded1fc12e8c6,791176,9625.0
92bba193b48d14d7fc8cc11e8c30da46f1544a75ba9eb4663e9336d1ed7cf5d1,786920,9549.0
c507bc5f9438371681e4204330e2cda4e7ed65de500b8b510cd355403922bd0b,187457,724.0
89444432aca4ad83d19f251623003418247031742b4a7c04a5c96ee15a4ab191,792113,9615.0
fd8e9465d0d4c0b2e177c3b35ef5e20347b31c5d91747a80d32a054ff567178f,202713,623.0
55ac3e4c8a771f1c1dd54723285b1a6ef0effeb823e51df556265149ad0e18c8,876277,262.0
1fbcb7f62bf4ce15d12a2a02d37d5a9c1ee0b6c90fa9966f41085b984b7331a6,210205,1074.0
f7ab9195f194ca397e066b7e6af9f81ffe6bce55c14bb702b0fdca6c058f9a84,188876,370.0
